country,year,population
China,2015,1397028553
China,2016,1403500365
China,2017,1409517397
China,2018,1415045928
China,2019,1420062022
China,2020,1424548266
China,2021,1428480534
China,2022,1431849651
China,2023,1434676116
China,2024,1436995094
China,2025,1438835697
China,2026,1440205376
China,2027,1441105792
China,2028,1441555143
China,2029,1441574218
China,2030,1441181813
China,2031,1440391650
China,2032,1439215347
China,2033,1437667004
China,2034,1435760478
China,2035,1433508888
China,2036,1430922498
China,2037,1428012154
China,2038,1424791461
China,2039,1421274537
China,2040,1417472814
China,2041,1413396936
China,2042,1409051555
China,2043,1404434236
China,2044,1399538493
China,2045,1394361025
China,2046,1388909186
China,2047,1383191989
China,2048,1377210270
China,2049,1370963871
China,2050,1364456723
China,2051,1357698332
China,2052,1350704050
China,2053,1343491986
China,2054,1336083672
China,2055,1328500912
China,2056,1320759080
China,2057,1312877134
China,2058,1304885395
China,2059,1296818439
China,2060,1288706557
China,2061,1280567920
China,2062,1272417590
China,2063,1264278114
China,2064,1256172116
China,2065,1248117944
Brazil,2015,205962108
Brazil,2016,207652865
Brazil,2017,209288278
Brazil,2018,210867954
Brazil,2019,212392717
Brazil,2020,213863046
Brazil,2021,215277900
Brazil,2022,216635951
Brazil,2023,217937210
Brazil,2024,219181979
Brazil,2025,220370552
Brazil,2026,221502809
Brazil,2027,222578675
Brazil,2028,223598520
Brazil,2029,224562876
Brazil,2030,225472214
Brazil,2031,226326815
Brazil,2032,227126881
Brazil,2033,227872682
Brazil,2034,228564481
Brazil,2035,229202582
Brazil,2036,229787484
Brazil,2037,230319644
Brazil,2038,230799257
Brazil,2039,231226480
Brazil,2040,231601656
Brazil,2041,231925066
Brazil,2042,232197512
Brazil,2043,232420421
Brazil,2044,232595537
Brazil,2045,232724279
Brazil,2046,232807383
Brazil,2047,232845132
Brazil,2048,232837778
Brazil,2049,232785372
Brazil,2050,232688044
Brazil,2051,232546318
Brazil,2052,232360630
Brazil,2053,232130794
Brazil,2054,231856495
Brazil,2055,231537607
Brazil,2056,231174505
Brazil,2057,230767874
Brazil,2058,230318313
Brazil,2059,229826557
Brazil,2060,229293394
Brazil,2061,228719635
Brazil,2062,228106117
Brazil,2063,227453767
Brazil,2064,226763549
Brazil,2065,226036562
Pakistan,2015,189380513
Pakistan,2016,193203476
Pakistan,2017,197015955
Pakistan,2018,200813818
Pakistan,2019,204596442
Pakistan,2020,208362334
Pakistan,2021,212106995
Pakistan,2022,215824155
Pakistan,2023,219509316
Pakistan,2024,223158203
Pakistan,2025,226767952
Pakistan,2026,230335982
Pakistan,2027,233862814
Pakistan,2028,237352889
Pakistan,2029,240812968
Pakistan,2030,244248371
Pakistan,2031,247659208
Pakistan,2032,251045010
Pakistan,2033,254409778
Pakistan,2034,257758315
Pakistan,2035,261093438
Pakistan,2036,264415428
Pakistan,2037,267721522
Pakistan,2038,271007385
Pakistan,2039,274266975
Pakistan,2040,277494590
Pakistan,2041,280687458
Pakistan,2042,283842283
Pakistan,2043,286951906
Pakistan,2044,290007941
Pakistan,2045,293003264
Pakistan,2046,295934020
Pakistan,2047,298797474
Pakistan,2048,301589116
Pakistan,2049,304304572
Pakistan,2050,306940443
Pakistan,2051,309494078
Pakistan,2052,311964487
Pakistan,2053,314352348
Pakistan,2054,316659543
Pakistan,2055,318887652
Pakistan,2056,321036773
Pakistan,2057,323106830
Pakistan,2058,325099262
Pakistan,2059,327015934
Pakistan,2060,328858580
Pakistan,2061,330628076
Pakistan,2062,332325445
Pakistan,2063,333952715
Pakistan,2064,335512214
Pakistan,2065,337005859
India,2015,1309053980
India,2016,1324171354
India,2017,1339180127
India,2018,1354051854
India,2019,1368737513
India,2020,1383197753
India,2021,1397423009
India,2022,1411415296
India,2023,1425158481
India,2024,1438635367
India,2025,1451829004
India,2026,1464726099
India,2027,1477311590
India,2028,1489564612
India,2029,1501462374
India,2030,1512985207
India,2031,1524123804
India,2032,1534869174
India,2033,1545203584
India,2034,1555108108
India,2035,1564570223
India,2036,1573581733
India,2037,1582146821
India,2038,1590281887
India,2039,1598011486
India,2040,1605355574
India,2041,1612319846
India,2042,1618905536
India,2043,1625123097
India,2044,1630983670
India,2045,1636496308
India,2046,1641666866
India,2047,1646498484
India,2048,1650993654
India,2049,1655153372
India,2050,1658978162
India,2051,1662471555
India,2052,1665634474
India,2053,1668461495
India,2054,1670944584
India,2055,1673078321
India,2056,1674862507
India,2057,1676300456
India,2058,1677394788
India,2059,1678149384
India,2060,1678568111
India,2061,1678655989
India,2062,1678416452
India,2063,1677850625
India,2064,1676958866
India,2065,1675744291
United States,2015,319929162
United States,2016,322179605
United States,2017,324459463
United States,2018,326766748
United States,2019,329093110
United States,2020,331431534
United States,2021,333783196
United States,2022,336149711
United States,2023,338523714
United States,2024,340895345
United States,2025,343255846
United States,2026,345601753
United States,2027,347929541
United States,2028,350230259
United States,2029,352493665
United States,2030,354711670
United States,2031,356879946
United States,2032,358997015
United States,2033,361061610
United States,2034,363073790
United States,2035,365033872
United States,2036,366941644
United States,2037,368797150
United States,2038,370601929
United States,2039,372358216
United States,2040,374068752
United States,2041,375734948
United States,2042,377359928
United States,2043,378950342
United States,2044,380514372
United States,2045,382058853
United States,2046,383587662
United States,2047,385102864
United States,2048,386607164
United States,2049,388102725
United States,2050,389591663
United States,2051,391075734
United States,2052,392557264
United States,2053,394039407
United States,2054,395525554
United States,2055,397018031
United States,2056,398517824
